H3K27me3_RL_cancer mean 1000 2 8 1
cpu
Epoch 1/1000 - Train Loss: 14.5876, Val Loss: 15.5052, Test Loss: 14.1417
Epoch 2/1000 - Train Loss: 13.2034, Val Loss: 13.8492, Test Loss: 12.4615
Epoch 3/1000 - Train Loss: 11.7972, Val Loss: 12.7848, Test Loss: 11.4094
Epoch 4/1000 - Train Loss: 10.9391, Val Loss: 12.0387, Test Loss: 10.6677
Epoch 5/1000 - Train Loss: 10.2426, Val Loss: 11.3720, Test Loss: 10.0032
Epoch 6/1000 - Train Loss: 9.5977, Val Loss: 10.7417, Test Loss: 9.3739
Epoch 7/1000 - Train Loss: 8.9796, Val Loss: 10.1324, Test Loss: 8.7652
Epoch 8/1000 - Train Loss: 8.3780, Val Loss: 9.5367, Test Loss: 8.1699
Epoch 9/1000 - Train Loss: 7.7878, Val Loss: 8.9507, Test Loss: 7.5841
Epoch 10/1000 - Train Loss: 7.2057, Val Loss: 8.3719, Test Loss: 7.0054
Epoch 11/1000 - Train Loss: 6.6298, Val Loss: 7.7984, Test Loss: 6.4320
Epoch 12/1000 - Train Loss: 6.0588, Val Loss: 7.2293, Test Loss: 5.8630
Epoch 13/1000 - Train Loss: 5.4916, Val Loss: 6.6637, Test Loss: 5.2975
Epoch 14/1000 - Train Loss: 4.9275, Val Loss: 6.1010, Test Loss: 4.7349
Epoch 15/1000 - Train Loss: 4.3661, Val Loss: 5.5407, Test Loss: 4.1746
Epoch 16/1000 - Train Loss: 3.8070, Val Loss: 4.9826, Test Loss: 3.6165
Epoch 17/1000 - Train Loss: 3.2606, Val Loss: 4.4410, Test Loss: 3.0833
Epoch 18/1000 - Train Loss: 2.7824, Val Loss: 3.9452, Test Loss: 2.6174
Epoch 19/1000 - Train Loss: 2.4041, Val Loss: 3.5004, Test Loss: 2.2370
Epoch 20/1000 - Train Loss: 2.1112, Val Loss: 3.1132, Test Loss: 1.9443
Epoch 21/1000 - Train Loss: 1.8755, Val Loss: 2.8179, Test Loss: 1.7220
Epoch 22/1000 - Train Loss: 1.7114, Val Loss: 2.5649, Test Loss: 1.5444
Epoch 23/1000 - Train Loss: 1.5758, Val Loss: 2.3861, Test Loss: 1.4128
Epoch 24/1000 - Train Loss: 1.4766, Val Loss: 2.2378, Test Loss: 1.3022
Epoch 25/1000 - Train Loss: 1.4007, Val Loss: 2.1432, Test Loss: 1.2447
Epoch 26/1000 - Train Loss: 1.3476, Val Loss: 2.0754, Test Loss: 1.2090
Epoch 27/1000 - Train Loss: 1.3144, Val Loss: 2.0125, Test Loss: 1.1801
Epoch 28/1000 - Train Loss: 1.2948, Val Loss: 1.9700, Test Loss: 1.1637
Epoch 29/1000 - Train Loss: 1.2793, Val Loss: 1.9318, Test Loss: 1.1518
Epoch 30/1000 - Train Loss: 1.2719, Val Loss: 1.8956, Test Loss: 1.1425
Epoch 31/1000 - Train Loss: 1.2610, Val Loss: 1.8710, Test Loss: 1.1379
Epoch 32/1000 - Train Loss: 1.2579, Val Loss: 1.8539, Test Loss: 1.1349
Epoch 33/1000 - Train Loss: 1.2534, Val Loss: 1.8497, Test Loss: 1.1343
Epoch 34/1000 - Train Loss: 1.2511, Val Loss: 1.8388, Test Loss: 1.1328
Epoch 35/1000 - Train Loss: 1.2483, Val Loss: 1.8263, Test Loss: 1.1312
Epoch 36/1000 - Train Loss: 1.2514, Val Loss: 1.8113, Test Loss: 1.1303
Epoch 37/1000 - Train Loss: 1.2482, Val Loss: 1.8176, Test Loss: 1.1306
Epoch 38/1000 - Train Loss: 1.2489, Val Loss: 1.8134, Test Loss: 1.1303
Epoch 39/1000 - Train Loss: 1.2476, Val Loss: 1.8073, Test Loss: 1.1301
Epoch 40/1000 - Train Loss: 1.2478, Val Loss: 1.8049, Test Loss: 1.1301
Epoch 41/1000 - Train Loss: 1.2482, Val Loss: 1.8096, Test Loss: 1.1302
Epoch 42/1000 - Train Loss: 1.2508, Val Loss: 1.8109, Test Loss: 1.1303
Epoch 43/1000 - Train Loss: 1.2483, Val Loss: 1.8089, Test Loss: 1.1302
Epoch 44/1000 - Train Loss: 1.2490, Val Loss: 1.7964, Test Loss: 1.1299
Epoch 45/1000 - Train Loss: 1.2481, Val Loss: 1.8074, Test Loss: 1.1301
Epoch 46/1000 - Train Loss: 1.2490, Val Loss: 1.8087, Test Loss: 1.1302
Epoch 47/1000 - Train Loss: 1.2475, Val Loss: 1.8029, Test Loss: 1.1300
Epoch 48/1000 - Train Loss: 1.2476, Val Loss: 1.8086, Test Loss: 1.1302
Epoch 49/1000 - Train Loss: 1.2475, Val Loss: 1.8026, Test Loss: 1.1300
Epoch 50/1000 - Train Loss: 1.2482, Val Loss: 1.8144, Test Loss: 1.1304
Epoch 51/1000 - Train Loss: 1.2486, Val Loss: 1.8090, Test Loss: 1.1302
Epoch 52/1000 - Train Loss: 1.2482, Val Loss: 1.8079, Test Loss: 1.1302
