dataset,loss_type,compress_type,compress_size,input_size,num_layers,hidden_size,test_fold,stop_epoch,train_loss,val_loss,test_loss,time
ATAC_JV_adipose,square,median,1000,1,1,4,2,297,2.43548254263263,1.6132157078158011,1.9873477390619252,9725.054562568665
ATAC_JV_adipose,square,median,1000,1,1,8,1,9,2.2232226754542945,1.3920126859052109,2.326149728159159,2056.6540956497192
ATAC_JV_adipose,square,median,1000,1,1,8,2,418,2.436064469898785,1.6093103959574364,1.9950693834128663,17733.42884373665
ATAC_JV_adipose,square,median,1000,1,2,16,1,4,2.399711877982517,1.401829968476668,2.3412077555054966,5376.571943759918
ATAC_JV_adipose,square,median,1000,1,2,16,2,105,2.4312380352158964,1.5530825742831356,2.006562746942471,12735.99572634697
ATAC_JV_adipose,square,median,1000,1,2,2,1,27,2.1691178545575447,1.390768979745917,2.316997472675868,7236.680270433426
ATAC_JV_adipose,square,median,1000,1,2,2,2,219,2.456946504497984,1.6090659524568105,1.9816874948906007,20225.831386327744
ATAC_JV_adipose,square,median,1000,1,2,4,1,15,2.16561595043555,1.3917331159999593,2.3139171944507217,6081.021550416946
ATAC_JV_adipose,square,median,1000,1,2,4,2,76,2.401506647221478,1.6391080469660333,1.9711600627923007,10161.240276098251
ATAC_JV_adipose,square,median,1000,1,2,8,1,8,2.256777702619098,1.3945031346566976,2.3308047378324366,5488.371468544006
ATAC_JV_adipose,square,median,1000,1,2,8,2,60,2.3629768731689755,1.6387202436718242,1.9632810655515551,8936.171688079834
ATAC_JV_adipose,square,median,2000,1,1,16,1,92,2.107757291720933,1.3606099798355715,2.2770094837328023,3370.477944612503
ATAC_JV_adipose,square,median,2000,1,1,16,2,162,2.4307590315883445,1.5577285954178397,1.9803941167612231,4242.021218776703
ATAC_JV_adipose,square,median,2000,1,1,2,1,24,2.192186242014013,1.3909995448286645,2.323390453765515,1665.914680480957
ATAC_JV_adipose,square,median,2000,1,1,2,2,297,2.423125880535689,1.6163656044888988,1.967355318607444,6465.333161115646
ATAC_JV_adipose,square,median,2000,1,1,4,1,15,2.190861272867922,1.394274875348783,2.32662443047603,1559.443130016327
ATAC_JV_adipose,square,median,2000,1,1,4,2,202,2.43119327339878,1.6121643368089942,1.9650236863325392,4962.057702302933
ATAC_JV_adipose,square,median,2000,1,1,8,1,9,2.221973974483522,1.3922153100953438,2.3258402969488348,1426.156902551651
ATAC_JV_adipose,square,median,2000,1,1,8,2,331,2.4147406323383,1.587080201679121,1.966105787972512,7642.933401107788
ATAC_JV_adipose,square,median,2000,1,2,16,1,4,2.4091238128260843,1.4033692605700343,2.3432904963111016,2614.343382835388
ATAC_JV_adipose,square,median,2000,1,2,16,2,175,2.3914061093470083,1.563120273482954,1.949985602169252,9313.218423366548
ATAC_JV_adipose,square,median,2000,1,2,2,1,27,2.169681367486711,1.3907445285154971,2.317177148342885,3696.143298149109
ATAC_JV_adipose,square,median,2000,1,2,2,2,61,2.469807253691132,1.6771593743892894,1.9825973803761563,6343.933016300201
ATAC_JV_adipose,square,median,2000,1,2,4,1,62,2.081846285806733,1.374826651525218,2.313033184086315,5280.519527673721
ATAC_JV_adipose,square,median,2000,1,2,4,2,147,2.369996332212405,1.5979257120257402,1.971917248169756,8749.45613527298
ATAC_JV_adipose,square,median,2000,1,2,8,1,8,2.256655606210633,1.3945061531849203,2.3307784490806123,2913.8686261177063
ATAC_JV_adipose,square,median,2000,1,2,8,2,150,2.2469308804068717,1.539110711722804,2.0545073342997,8082.758773088455
ATAC_JV_adipose,linear,mean,100,1,1,16,1,12,1.0368501556162932,0.8253584957122803,1.1145822098266045,31882.189197540283
ATAC_JV_adipose,linear,mean,100,1,1,16,2,22,1.124064382825579,1.016798810525374,1.0003954743951318,31994.67112994194
ATAC_JV_adipose,linear,mean,100,1,1,2,1,18,1.0507244966468032,0.8294224834442139,1.1053104182900904,32739.81802892685
ATAC_JV_adipose,linear,mean,100,1,1,2,2,46,1.1258735357012069,1.0209342241287231,1.0079685556210154,40586.14459276199
ATAC_JV_adipose,linear,mean,100,1,1,4,1,10,1.05478412764413,0.8265747356414795,1.1047618247602629,30291.233451366425
ATAC_JV_adipose,linear,mean,100,1,1,4,2,46,1.1248199817112514,1.0199886993928389,1.002537923130563,41779.754437446594
ATAC_JV_adipose,linear,mean,100,1,1,8,1,6,1.051545459396985,0.8288929843902588,1.1068815989037082,28859.11704397201
ATAC_JV_adipose,linear,mean,100,1,1,8,2,46,1.124868804386684,1.0178921764547175,0.9993452231089274,41736.72615146637
ATAC_JV_adipose,linear,mean,100,1,2,16,1,112,0.9209627083369664,0.7944695377349853,1.1318702349379726,222815.3761627674
ATAC_JV_adipose,linear,mean,100,1,2,16,2,73,1.1279698698861258,1.0165167179974643,1.0013305404321935,114473.21009731293
ATAC_JV_adipose,linear,mean,100,1,2,2,1,20,1.0505278840356944,0.8291406345367431,1.1055502173018783,69952.31358933449
ATAC_JV_adipose,linear,mean,100,1,2,2,2,140,1.05624178477696,1.0075080503116955,1.0083670209093791,154160.6313340664
ATAC_JV_adipose,linear,mean,100,1,2,4,1,10,1.055019120780789,0.8293255138397216,1.1053166019317766,61477.53669142723
ATAC_JV_adipose,linear,mean,100,1,2,4,2,134,1.0350121143886022,0.9724154580723156,0.9714011700172734,150959.37809681892
ATAC_JV_adipose,linear,mean,100,1,2,8,1,131,0.9286949050669768,0.7663618564605713,1.0822951869877506,186187.6427514553
ATAC_JV_adipose,linear,mean,100,1,2,8,2,155,1.029770224434989,0.930848544294184,0.9770617620731756,247427.662047863
ATAC_JV_adipose,linear,mean,1000,1,1,16,1,37,1.05185274688565,0.8296862316131591,1.106413527710797,4127.703711986542
ATAC_JV_adipose,linear,mean,1000,1,1,16,2,344,1.0738903290884836,0.9448844627900556,0.9853420684008094,15640.069141864777
ATAC_JV_adipose,linear,mean,1000,1,1,2,1,18,1.0501355005770314,0.8291421604156494,1.1055300290181758,3339.0990166664124
ATAC_JV_adipose,linear,mean,1000,1,1,2,2,555,1.1148455347333637,0.9982583847912876,1.006195481230573,24259.20195841789
ATAC_JV_adipose,linear,mean,1000,1,1,4,1,10,1.0565435156530265,0.828880968093872,1.106783218035415,2816.333822011948
ATAC_JV_adipose,linear,mean,1000,1,1,4,2,413,1.116944626399449,0.99625196240165,1.005124946919883,17929.321108818054
ATAC_JV_adipose,linear,mean,1000,1,1,8,1,6,1.0571279525756836,0.829646291732788,1.1070700127240185,2647.749946117401
ATAC_JV_adipose,linear,mean,1000,1,1,8,2,264,1.112099323272705,0.99677912755446,1.002718973935135,13029.13626909256
ATAC_JV_adipose,linear,mean,1000,1,2,16,1,37,1.05174327383236,0.8299279117584228,1.1069383055107778,8482.428774356842
ATAC_JV_adipose,linear,mean,1000,1,2,16,2,162,1.0180148015703474,0.9109817093068904,1.0033428029316227,17246.375967264175
ATAC_JV_adipose,linear,mean,1000,1,2,2,1,20,1.0503509044647217,0.8290886020660401,1.105701999577213,7168.177306175232
ATAC_JV_adipose,linear,mean,1000,1,2,2,2,375,1.0903100831168038,0.9680129506371238,1.0133653152279738,34045.564720630646
ATAC_JV_adipose,linear,mean,1000,1,2,4,1,10,1.055023295538766,0.8293758869171143,1.105364555637586,5546.3295612335205
ATAC_JV_adipose,linear,mean,1000,1,2,4,2,272,1.0622816331045968,0.9321528564799916,0.9854267399485518,26100.533023118973
ATAC_JV_adipose,linear,mean,1000,1,2,8,1,6,1.049103050815816,0.8327475643157959,1.1091506775111368,5486.729023218155
ATAC_JV_adipose,linear,mean,1000,1,2,8,2,130,1.0379949705941336,0.9374723109331998,0.9631796348385696,15231.19703578949
ATAC_JV_adipose,linear,mean,2000,1,1,16,1,37,1.0516488600750358,0.8295687007904052,1.106841244109689,2168.0436334609985
ATAC_JV_adipose,linear,mean,2000,1,1,16,2,201,1.066265092577253,0.950191790407354,0.993126266370944,5055.947585582733
ATAC_JV_adipose,linear,mean,2000,1,1,2,1,18,1.0501715844991255,0.8290890789031983,1.105482088376398,1574.463071346283
ATAC_JV_adipose,linear,mean,2000,1,1,2,2,679,1.1124000031607493,0.99821336702867,1.0070113185944596,14644.443443536758
ATAC_JV_adipose,linear,mean,2000,1,1,4,1,10,1.056002850435218,0.8299175930023194,1.1068648116229332,1343.9325051307678
ATAC_JV_adipose,linear,mean,2000,1,1,4,2,508,1.11057041985648,0.9979158639907836,1.0061561828706322,10809.950377464294
ATAC_JV_adipose,linear,mean,2000,1,1,8,1,6,1.056764403168036,0.8300336170196533,1.1072419528003152,1302.9934525489807
ATAC_JV_adipose,linear,mean,2000,1,1,8,2,46,1.119788761138916,1.0074332735755227,1.0011260199352978,1875.3434603214264
ATAC_JV_adipose,linear,mean,2000,1,2,16,1,37,1.051479738585803,0.8294572353363037,1.1065176480436978,4181.073689222336
ATAC_JV_adipose,linear,mean,2000,1,2,16,2,132,0.9447421046665736,0.9636354338039052,1.0124324337253725,7543.812099933624
ATAC_JV_adipose,linear,mean,2000,1,2,2,1,20,1.0503538579356917,0.8290812397003173,1.1056991995197454,3161.4848556518555
ATAC_JV_adipose,linear,mean,2000,1,2,2,2,175,1.115193260737828,1.0016670552167026,1.006897749939585,8892.678448438644
ATAC_JV_adipose,linear,mean,2000,1,2,4,1,79,1.019326898516441,0.8211630535125732,1.120047403797167,6086.151110887528
ATAC_JV_adipose,linear,mean,2000,1,2,4,2,138,1.047896946498326,0.9577991420572456,0.9553340876974712,8176.287085533142
ATAC_JV_adipose,linear,mean,2000,1,2,8,1,5,1.0909588288287728,0.8323145389556885,1.1039677232367808,2674.108137845993
ATAC_JV_adipose,linear,mean,2000,1,2,8,2,149,0.992335992540632,0.9469792734492908,0.9928752232373246,8235.12545132637
ATAC_JV_adipose,linear,median,100,1,1,16,1,12,1.0362798778378233,0.8254695415496827,1.1177853492841328,31468.94451141357
ATAC_JV_adipose,linear,median,100,1,1,16,2,22,1.1236002431597027,1.0166544372385198,1.000493745493695,32481.273794412613
ATAC_JV_adipose,linear,median,100,1,1,2,1,18,1.050455852430694,0.8292842388153077,1.1054445771866193,33906.19191622734
ATAC_JV_adipose,linear,median,100,1,1,2,2,46,1.1258593777247838,1.020878889343955,1.0079630390415346,41399.79190611839
ATAC_JV_adipose,linear,median,100,1,1,4,1,10,1.0542837989573577,0.8265469074249268,1.1048111763174675,30192.334609508514
ATAC_JV_adipose,linear,median,100,1,1,4,2,46,1.1251887103489466,1.0197631337425923,1.003190794611365,41487.98563408852
ATAC_JV_adipose,linear,median,100,1,1,8,1,6,1.0514884870879504,0.8286515522003174,1.1066730098637272,29702.553494930267
ATAC_JV_adipose,linear,median,100,1,1,8,2,46,1.1251455007280622,1.0174998478455977,1.0000474414205165,38413.04259562493
ATAC_JV_adipose,linear,median,100,1,2,16,1,28,1.037750939933621,0.8277937984466552,1.114271703920408,78772.98823809624
ATAC_JV_adipose,linear,median,100,1,2,16,2,73,1.1284222057887483,1.0165450898083774,1.001357805438158,106080.74680352212
ATAC_JV_adipose,linear,median,100,1,2,2,1,20,1.050625382637491,0.8291740703582764,1.1055386730525048,67976.02982449532
ATAC_JV_adipose,linear,median,100,1,2,2,2,46,1.1258328383309502,1.0208813819018276,1.0079455201218768,82207.5570936203
ATAC_JV_adipose,linear,median,100,1,2,4,1,10,1.054962260382516,0.8293131160736084,1.105329091146112,62403.43855237961
ATAC_JV_adipose,linear,median,100,1,2,4,2,200,1.0261454146248954,0.9596653092991222,0.9835153614602438,217937.112667799
ATAC_JV_adipose,linear,median,100,1,2,8,1,128,0.9181869735523146,0.789608678817749,1.0888057299400573,179099.08172130585
ATAC_JV_adipose,linear,median,100,1,2,8,2,46,1.12596216746739,1.0177231593565508,1.0026467621811035,82116.67481517792
ATAC_JV_adipose,linear,median,1000,1,1,16,1,37,1.0506228330184002,0.8292490482330322,1.1062622941247948,4343.63711810112
ATAC_JV_adipose,linear,median,1000,1,1,16,2,362,1.0947894859313965,0.9639549363743176,1.0111688268863088,16804.322977542877
ATAC_JV_adipose,linear,median,1000,1,1,2,1,18,1.0502143198130085,0.8291516590118408,1.1054450082996663,3350.0209562778477
ATAC_JV_adipose,linear,median,1000,1,1,2,2,508,1.1208957644871302,1.0007994716817683,1.0085575347993432,20335.72972083092
ATAC_JV_adipose,linear,median,1000,1,1,4,1,10,1.0583732274113868,0.8299085140228272,1.1061246950332433,2519.0626435279846
ATAC_JV_adipose,linear,median,1000,1,1,4,2,310,1.1213520458766393,1.000364010984247,1.0076756884412068,13711.710646152496
ATAC_JV_adipose,linear,median,1000,1,1,8,1,6,1.057970567625396,0.8294910144805908,1.1067323728239156,2696.110469341278
ATAC_JV_adipose,linear,median,1000,1,1,8,2,413,1.1205728776114328,0.9917296821420843,1.007603263467308,17334.888238430023
ATAC_JV_adipose,linear,median,1000,1,2,16,1,37,1.051745585032872,0.8299331569671631,1.1069436791824967,9014.993505477903
ATAC_JV_adipose,linear,median,1000,1,2,16,2,154,1.066797079358782,0.9834008325229991,1.027269712308558,17479.865691900253
ATAC_JV_adipose,linear,median,1000,1,2,2,1,20,1.050544261932373,0.829143590927124,1.105593062971281,6792.182571649551
ATAC_JV_adipose,linear,median,1000,1,2,2,2,76,1.1247737911769322,1.0194336609406904,1.0067174046989378,10712.720429182053
ATAC_JV_adipose,linear,median,1000,1,2,4,1,10,1.0548866135733468,0.829321756362915,1.1053798144266485,5685.315768480301
ATAC_JV_adipose,linear,median,1000,1,2,4,2,243,1.0828141021728517,0.9743387590755116,1.0079276833107802,24058.815774679184
ATAC_JV_adipose,linear,median,1000,1,2,8,1,6,1.0499350975970834,0.8317129230499267,1.108265419528909,5669.67661857605
ATAC_JV_adipose,linear,median,1000,1,2,8,2,160,1.0538898631504603,0.9708167097785256,1.016610110678324,17365.026118040085
ATAC_JV_adipose,linear,median,2000,1,1,16,1,37,1.0515972594825589,0.8293199443817139,1.106312760479374,2026.6070761680603
ATAC_JV_adipose,linear,median,2000,1,1,16,2,296,1.1081864084516253,0.9869455966082488,1.003180339084408,7066.764676332474
ATAC_JV_adipose,linear,median,2000,1,1,2,1,18,1.0501118192867356,0.8290486431121826,1.105448661873874,1591.3032405376434
ATAC_JV_adipose,linear,median,2000,1,1,2,2,297,1.1204319790431432,1.0120039961554788,1.0081993448055857,7001.7395803928375
ATAC_JV_adipose,linear,median,2000,1,1,4,1,10,1.0576075193833332,0.8305080509185792,1.1062258628949726,1432.5404434204102
ATAC_JV_adipose,linear,median,2000,1,1,4,2,147,1.1223417908804758,1.0114827914671465,1.005752476250253,3764.7647593021393
ATAC_JV_adipose,linear,median,2000,1,1,8,1,6,1.057715012102711,0.8296778964996337,1.106802187009489,1339.1537120342257
ATAC_JV_adipose,linear,median,2000,1,1,8,2,46,1.121613586970738,1.0097135738892988,1.00243338724462,1893.046711683273
ATAC_JV_adipose,linear,median,2000,1,2,16,1,37,1.0515787893412063,0.8296016025543212,1.106678383535446,4190.319760084152
ATAC_JV_adipose,linear,median,2000,1,2,16,2,93,1.1124569702148437,1.0075823068618774,1.0039879577915842,6066.181421518326
ATAC_JV_adipose,linear,median,2000,1,2,2,1,20,1.0506154177140217,0.8291747379302978,1.1055561657909934,3462.2642827034
ATAC_JV_adipose,linear,median,2000,1,2,2,2,46,1.1258465439932688,1.0209159525957974,1.0080441556325772,4091.594732284546
ATAC_JV_adipose,linear,median,2000,1,2,4,1,10,1.0547606215185048,0.8294488620758057,1.105224073749699,2943.151634454727
ATAC_JV_adipose,linear,median,2000,1,2,4,2,40,1.122556961604527,1.0162769556045532,1.0055244201567115,3711.518540143967
ATAC_JV_adipose,linear,median,2000,1,2,8,1,6,1.0498656107454885,0.8318049526214599,1.1083397930615568,2760.169644117356
ATAC_JV_adipose,linear,median,2000,1,2,8,2,155,1.0734783063616071,0.9811449592763728,1.0238508751721886,8633.672247886658
CTCF_TDH_ENCODE,square,mean,100,1,1,16,1,50,1.5062679332400783,2.0662612092681227,1.1948243797946598,17531.767365455627
CTCF_TDH_ENCODE,square,mean,100,1,1,16,2,142,1.1998813732739178,0.8949213943526368,1.6497311157373975,30499.36055922508
CTCF_TDH_ENCODE,square,mean,100,1,1,2,1,137,1.4959373240353904,2.0916721512563528,1.2002332621001794,32904.61318731308
CTCF_TDH_ENCODE,square,mean,100,1,1,2,2,109,1.2725334286119845,0.9050226866760674,1.613201308746618,24898.55628347397
CTCF_TDH_ENCODE,square,mean,100,1,1,4,1,137,1.4961460683082874,2.0865931489432112,1.194803898430629,34200.32773447037
CTCF_TDH_ENCODE,square,mean,100,1,1,4,2,120,1.265093862226775,0.901373580972979,1.610203531335526,27336.120136737823
CTCF_TDH_ENCODE,square,mean,100,1,1,8,1,50,1.498875961562123,2.08329937379458,1.1979565362326825,17439.19420480728
CTCF_TDH_ENCODE,square,mean,100,1,1,8,2,103,1.27096432212344,0.9014124563991036,1.6103334686702844,23607.082078695297
CTCF_TDH_ENCODE,square,mean,100,1,2,16,1,50,1.506510551975598,2.066722657752689,1.195720945780825,38334.688848018646
CTCF_TDH_ENCODE,square,mean,100,1,2,16,2,203,0.9189317900889012,0.6069208601873148,1.7471197202720927,84721.0589902401
CTCF_TDH_ENCODE,square,mean,100,1,2,2,1,137,1.4959349259017751,2.091833465453237,1.2003106704616495,64334.46004128456
CTCF_TDH_ENCODE,square,mean,100,1,2,2,2,116,1.2731333579068809,0.9049823470413684,1.6131968390729934,54577.449345350266
CTCF_TDH_ENCODE,square,mean,100,1,2,4,1,137,1.4976262393797817,2.088159987528525,1.199416407442186,60341.59910464287
CTCF_TDH_ENCODE,square,mean,100,1,2,4,2,70,1.278783710447571,0.9049544912927292,1.6132302220129142,37324.38431215286
CTCF_TDH_ENCODE,square,mean,100,1,2,8,1,50,1.4994385320049983,2.082581037050113,1.198339059818647,38274.3745610714
CTCF_TDH_ENCODE,square,mean,100,1,2,8,2,43,1.2739507424603425,0.9048937412307544,1.613196453203124,32059.7057492733
CTCF_TDH_ENCODE,square,mean,1000,1,1,16,1,50,1.506412529318298,2.0655655218521134,1.1951295051337747,1765.9463577270508
CTCF_TDH_ENCODE,square,mean,1000,1,1,16,2,83,1.2813358845627074,0.904629294267472,1.610567281155714,2080.2152140140533
CTCF_TDH_ENCODE,square,mean,1000,1,1,2,1,241,1.4968070986461288,2.0882579828146843,1.1990602461654427,4642.032144069672
CTCF_TDH_ENCODE,square,mean,1000,1,1,2,2,108,1.2734352155838773,0.9049846711842452,1.6134873339095956,2363.0105063915253
CTCF_TDH_ENCODE,square,mean,1000,1,1,4,1,137,1.4970912637923344,2.083066073320515,1.197295472995999,3042.0518538951874
CTCF_TDH_ENCODE,square,mean,1000,1,1,4,2,130,1.2688952375328475,0.9042303381485696,1.611018580488495,2708.6181256771088
CTCF_TDH_ENCODE,square,mean,1000,1,1,8,1,50,1.4990112351489444,2.0828796111323755,1.198132297962383,1688.787014245987
