method,fold,acc
mlp,1,78.67607162235485
mlp,2,83.14663951120163
mmit,1,65.3899721448468
mmit,2,70.12910798122066
linear_L1reg,1,69.63788300835655
linear_L1reg,2,73.94366197183099
AFT_XGboost,1,69.22005571030641
AFT_XGboost,2,71.0093896713615
lstm-linear,1,80.57514921323929
lstm-linear,2,81.4853017019082
lstm-square,1,80.35811177428106
lstm-square,2,82.4847250509165
rnn-square,1,79.54422137818774
rnn-square,2,81.67006109979633
