method,fold,acc
mlp,1,77.04918032786885
mlp,2,81.36645962732919
mmit,1,74.75409836065575
mmit,2,78.26086956521739
linear_L1reg,1,80.65573770491802
linear_L1reg,2,79.8136645962733
AFT_XGboost,1,71.14754098360656
AFT_XGboost,2,72.98136645962732
lstm-square,1,77.37704918032787
lstm-square,2,78.16455696202532
rnn-square,1,72.78688524590164
rnn-square,2,78.48101265822784
constant,1,52.78688524590164
constant,2,64.59627329192547
gru-square,1,77.70491803278688
gru-square,2,79.8136645962733
